id,company_name,model_name,model_code,model_url,category,style,surface_m2,bedrooms,bathrooms,floors,structure_material,delivery_modes,price_from,price_to,currency,original_price_text,includes_transport,includes_assembly,estimated_total_time,description,image_urls,pdf_ficha_url,scrape_date,fingerprint_hash
,Casas El Mirador,Casa 72mts2 (6 agua),,https://casaselmirador.cl/casa-72mts2-6-agua/,Prefabricada Madera,6 Agua,72.0,4.0,2.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",6190000.0,,CLP,$6.190.000,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/25AE7112-A332-4D7E-A78D-8069F17474C5-1022x1024.jpeg,,2026-03-02 23:13:21.764510,
,Casas El Mirador,Casa 128mts2 (6 agua),,https://casaselmirador.cl/casa-128mts2-6-agua/,Prefabricada Madera,6 Agua,128.0,4.0,2.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",9290000.0,,CLP,$9.290.000.,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/casas11.jpg,,2026-03-02 23:13:22.189592,
,Casas El Mirador,Casa 120mts2 (6 agua),,https://casaselmirador.cl/casa-120mts2-6-agua/,Prefabricada Madera,6 Agua,120.0,4.0,2.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",9000000.0,,CLP,$9.000.000,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/casas11.jpg,,2026-03-02 23:13:23.390012,
,Casas El Mirador,Casa 36mts2 (4 aguas),,https://casaselmirador.cl/casa-36mts2-4-aguas/,Prefabricada Madera,4 Agua,36.0,2.0,1.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",3550000.0,,CLP,$3.550.000.,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/77FE9CBD-A908-4476-B8E5-6CF1662DB11B-e1704422018795-1024x934.jpeg,,2026-03-02 23:13:23.866033,
,Casas El Mirador,Casa 63mts2 (4 agua),,https://casaselmirador.cl/casa-63mts2-4-agua/,Prefabricada Madera,4 Agua,63.0,3.0,2.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",8290000.0,,CLP,$8.290.000,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/364E1DA4-563E-480B-80D5-6AD9D103BDAF-1024x1024.jpeg,,2026-03-02 23:13:24.300509,
,Casas El Mirador,Casa 42mts2 (2 agua),,https://casaselmirador.cl/casa-42mts2-2-agua/,Prefabricada Madera,2 Agua,42.0,2.0,1.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",3850000.0,,CLP,$3.850.000.,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/B5AA368B-70C9-4C43-B4CE-B7CBFC9A8C4A-e1704422317711-1024x1024.jpeg,,2026-03-02 23:13:24.736882,
,Casas El Mirador,Casa 108mts2 (6 agua),,https://casaselmirador.cl/casa-108mts2-6-agua-2/,Prefabricada Madera,6 Agua,108.0,6.0,3.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",8390000.0,,CLP,$8.390.000,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/7B9ABA34-DD5E-422C-8CFD-1F8A4948C57B-1024x1024.jpeg,,2026-03-02 23:13:25.206938,
,Casas El Mirador,Casa 120mts2 (4 agua),,https://casaselmirador.cl/casa-120mts2-4-agua/,Prefabricada Madera,4 Agua,120.0,4.0,3.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",9850000.0,,CLP,$9.850.000,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2021/03/120.jpg,,2026-03-02 23:13:26.540130,
,Casas El Mirador,Casa 54mts2 (6 agua),,https://casaselmirador.cl/casa-54mts2-6-agua/,Prefabricada Madera,6 Agua,54.0,3.0,1.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",4790000.0,,CLP,$4.790.000,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/49F00A9E-6781-4CB4-8F14-435D9E1AF193-1024x1024.jpeg,,2026-03-02 23:13:26.999494,
,Casas El Mirador,Casa 144mts2 (6 agua),,https://casaselmirador.cl/casa-144mts2-6-agua/,Prefabricada Madera,6 Agua,144.0,4.0,3.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",10650000.0,,CLP,$10.650.000,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/02685708-80AE-4A86-BCC3-2FD81A10993E-1024x1024.jpeg,,2026-03-02 23:13:27.419039,
,Casas El Mirador,Casa 63mts2 (6 agua),,https://casaselmirador.cl/casa-63mts2-6-agua/,Prefabricada Madera,6 Agua,63.0,3.0,1.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",5290000.0,,CLP,$5.290.000.,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/8C3A6FE4-9622-4875-BB9E-12B46FB79140-1024x1024.jpeg,,2026-03-02 23:13:27.916315,
,Casas El Mirador,Casa 108mts2 (6 agua),,https://casaselmirador.cl/casa-108mts2-6-agua/,Prefabricada Madera,6 Agua,108.0,4.0,3.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",8390000.0,,CLP,$8.390.000,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/7B9ABA34-DD5E-422C-8CFD-1F8A4948C57B-1024x1024.jpeg,,2026-03-02 23:13:28.359079,
,Casas El Mirador,Casa 54mts2 (2 agua),,https://casaselmirador.cl/casa-54mts2-2-agua/,Prefabricada Madera,2 Agua,54.0,3.0,1.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",4490000.0,,CLP,$4.490.000,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/1E015CB1-2C3A-4191-AF84-E20491CB13CF-e1704421661851-1024x742.jpeg,,2026-03-02 23:13:28.863569,
,Casas El Mirador,Casa 36mts2 (2 agua),,https://casaselmirador.cl/casa-36mts2-2-agua/,Prefabricada Madera,2 Agua,36.0,2.0,1.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",3390000.0,,CLP,$3.390.000.,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/1E015CB1-2C3A-4191-AF84-E20491CB13CF-e1704421661851-1024x742.jpeg,,2026-03-02 23:13:29.338045,
,Casas El Mirador,Casa 84mts2 (6 agua),,https://casaselmirador.cl/casa-84mts2-6-agua/,Prefabricada Madera,6 Agua,84.0,4.0,2.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",6990000.0,,CLP,$6.990.000,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/ECE0D870-00F7-4B54-B153-286D890DCDAA-1022x1024.jpeg,,2026-03-02 23:13:29.792686,
,Casas El Mirador,Casa 90mts2 (6 agua),,https://casaselmirador.cl/casa-90mts2-6-agua/,Prefabricada Madera,6 Agua,90.0,4.0,3.0,,Pino Impregnado 2x3,"Pack Básico, Pack Completo sin Piso, Pack Completo con Piso",7690000.0,,CLP,$7.690.000,False,False,,Casas prefabricadas de madera fabricadas en Talca. Despacho a todo Chile.,https://casaselmirador.cl/wp-content/uploads/2020/02/F76CAE02-BA50-4536-BFA7-3B9A99B85D56-e1704424824347-1024x689.jpeg,,2026-03-02 23:13:30.257232,
,Casas San Alberto,Casa Prefabricada de 48 Mts.2 a 2 Aguas,,https://casasanalberto.com/producto/casa-48-mts-2-a-2-aguas-casas-prefabricadas/,Prefabricada Madera,2 Aguas,48.0,3.0,1.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2020/07/54mts-2aguas.jpg,,2026-03-02 23:13:46.212813,
,Casas San Alberto,Casa Prefabricada de 54 Mts.2 a 2 Aguas,,https://casasanalberto.com/producto/casa-54-mts-2-a-2-aguas-casas-prefabricadas/,Prefabricada Madera,2 Aguas,54.0,3.0,1.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2020/07/54mts-2aguas.jpg,,2026-03-02 23:13:47.318098,
,Casas San Alberto,Casa Prefabricada 36 Mts.2 Mediterránea 1 Agua,,https://casasanalberto.com/producto/casa-prefabricada-36-mts-2-mediterranea-1-agua/,Prefabricada Madera,2 Aguas,36.0,2.0,1.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2024/08/mediterranea-36mts2-1024x683.jpg,,2026-03-02 23:13:48.560640,
,Casas San Alberto,Casa Prefabricada 36 Mts.2 a 2 Aguas,,https://casasanalberto.com/producto/casa-36-mts-2-a-2-aguas/,Prefabricada Madera,2 Aguas,36.0,2.0,1.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2020/07/36mts-2aguas.jpg,,2026-03-02 23:13:50.344206,
,Casas San Alberto,Casa Prefabricada de 120 Mts.2 a 6 Aguas,,https://casasanalberto.com/producto/casa-120-mts-2-a-6-aguas-casas-prefabricadas/,Prefabricada Madera,2 Aguas,120.0,4.0,2.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2020/08/120mts6aguas.jpg,,2026-03-02 23:13:51.511122,
,Casas San Alberto,Casa de 93 mts2 en 4 Aguas,,https://casasanalberto.com/producto/casa-de-93-mts2-en-4-aguas/,Prefabricada Madera,4 Aguas,93.0,4.0,2.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2025/06/93mts-4Aguas2-web.jpg,,2026-03-02 23:13:52.666198,
,Casas San Alberto,Casa Prefabricada de 54 Mts.2 a 6 Aguas,,https://casasanalberto.com/producto/casa-54-mts-2-a-6-aguas-casas-prefabricadas/,Prefabricada Madera,2 Aguas,54.0,3.0,1.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",20800.0,,CLP,$ 20.800,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2020/07/54mts-6aguas.jpg,,2026-03-02 23:13:52.847240,
,Casas San Alberto,Casa Prefabricada de 120 Mts.2 a 6 Aguas,,https://casasanalberto.com/producto/casa-120-mts-2-a-6-aguas/,Prefabricada Madera,2 Aguas,120.0,4.0,2.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2020/08/120mts6aguas.jpg,,2026-03-02 23:13:53.641038,
,Casas San Alberto,Casa Prefabricada de 54 Mts.2 a 2 Aguas,,https://casasanalberto.com/producto/casa-54-mts-2-a-2-aguas/,Prefabricada Madera,2 Aguas,54.0,3.0,1.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2020/07/54mts-2aguas.jpg,,2026-03-02 23:13:54.434883,
,Casas San Alberto,Casa Prefabricada 36 Mts.2 a 2 Aguas,,https://casasanalberto.com/producto/casa-36-mts-2-a-2-aguas-casas-prefabricada/,Prefabricada Madera,2 Aguas,36.0,2.0,1.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2020/07/36mts-2aguas.jpg,,2026-03-02 23:13:54.626794,
,Casas San Alberto,Casa Prefabricada de 72 Mts.2 a 6 Aguas,,https://casasanalberto.com/producto/casa-72-mts-2-a-6-aguas-casas-prefabricadas/,Prefabricada Madera,6 Aguas,72.0,4.0,2.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2020/08/84mts6aguas.jpg,,2026-03-02 23:13:55.621767,
,Casas San Alberto,Casa de 84 mts2 Espejo,,https://casasanalberto.com/producto/casa-de-84-mts2-espejo/,Prefabricada Madera,2 Aguas,84.0,4.0,2.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2025/02/84mts6aguas-Mari2.jpg,,2026-03-02 23:13:56.580822,
,Casas San Alberto,Casa Prefabricada de 42 Mts.2 a 2 Aguas,,https://casasanalberto.com/producto/casa-42-mts-2-a-2-aguas-casas-prefabricadas/,Prefabricada Madera,2 Aguas,42.0,3.0,1.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2020/07/54mts-2aguas.jpg,,2026-03-02 23:13:57.687333,
,Casas San Alberto,Casa Prefabricada de 63 Mts.2 a 6 Aguas,,https://casasanalberto.com/producto/casa-63-mts-2-a-6-aguas-casas-prefabricadas/,Prefabricada Madera,6 Aguas,63.0,3.0,1.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2020/07/54mts-6aguas.jpg,,2026-03-02 23:13:58.815596,
,Casas San Alberto,Casa Prefabricada de 84 Mts.2 a 6 Aguas,,https://casasanalberto.com/producto/casa-84-mts-2-a-6-aguas-casas-prefabricadas/,Prefabricada Madera,2 Aguas,84.0,4.0,2.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2020/08/84mts6aguas.jpg,,2026-03-02 23:13:59.976847,
,Casas San Alberto,Casa Prefabricada de 108 Mts.2 a 6 Aguas,,https://casasanalberto.com/producto/casa-108-mts-2-a-6-aguas-casas-prefabricadas/,Prefabricada Madera,2 Aguas,108.0,6.0,2.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2020/08/108mts6aguas.jpg,,2026-03-02 23:14:01.110018,
,Casas San Alberto,Casa de 72 mts2 2 Aguas,,https://casasanalberto.com/producto/casa-de-72-mts2-2-aguas/,Prefabricada Madera,2 Aguas,72.0,3.0,2.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2025/06/72mts-2Aguas-web.jpg,,2026-03-02 23:14:02.263021,
,Casas San Alberto,Casa de 72 mts2 Espejo,,https://casasanalberto.com/producto/casa-de-72-mts2-espejo/,Prefabricada Madera,2 Aguas,72.0,4.0,2.0,,Madera de Alta Calidad,"Kit Básico, Servicio de Armado",,,,,False,False,,Empresa líder en ventas de casas prefabricadas desde Temuco al sur. Reserva con $100.000.,https://casasanalberto.com/wp-content/uploads/2025/02/84mts6aguas-Mari2.jpg,,2026-03-02 23:14:03.353014,
,Temukit,Innova,,https://temukit.cl/shop/innova/,Prefabricada Madera,,108.0,,,,Madera,"Kit Básico, Pack Completo",0.0,,CLP,$ 0.00,False,False,,Casas prefabricadas en Temuco. Más de 500 casas entregadas en La Araucanía y Chile.,https://temukit.cl/wp-content/uploads/2023/12/innova.jpg,,2026-03-02 23:14:04.020135,
,Temukit,6 Aguas,,https://temukit.cl/shop/6-aguas/,Prefabricada Madera,6 Aguas,0.0,,,,Madera,"Kit Básico, Pack Completo",0.0,,CLP,$ 0.00,False,False,,Casas prefabricadas en Temuco. Más de 500 casas entregadas en La Araucanía y Chile.,https://temukit.cl/wp-content/uploads/2023/12/1-8.jpg,,2026-03-02 23:14:04.081975,
,Temukit,Millantu,,https://temukit.cl/shop/millantu/,Prefabricada Madera,,0.0,,,,Madera,"Kit Básico, Pack Completo",0.0,,CLP,$ 0.00,False,False,,Casas prefabricadas en Temuco. Más de 500 casas entregadas en La Araucanía y Chile.,https://temukit.cl/wp-content/uploads/2023/12/1-11.jpg,,2026-03-02 23:14:04.152015,
,Temukit,Bellavista,,https://temukit.cl/shop/bellavista/,Prefabricada Madera,,0.0,,,,Madera,"Kit Básico, Pack Completo",0.0,,CLP,$ 0.00,False,False,,Casas prefabricadas en Temuco. Más de 500 casas entregadas en La Araucanía y Chile.,https://temukit.cl/wp-content/uploads/2023/12/1-10.jpg,,2026-03-02 23:14:04.246036,
,Temukit,4 Aguas,,https://temukit.cl/shop/4-aguas/,Prefabricada Madera,4 Aguas,0.0,,,,Madera,"Kit Básico, Pack Completo",0.0,,CLP,$ 0.00,False,False,,Casas prefabricadas en Temuco. Más de 500 casas entregadas en La Araucanía y Chile.,https://temukit.cl/wp-content/uploads/2023/12/1-7.jpg,,2026-03-02 23:14:04.319277,
,Temukit,2 Aguas,,https://temukit.cl/shop/2-aguas/,Prefabricada Madera,2 Aguas,0.0,,,,Madera,"Kit Básico, Pack Completo",0.0,,CLP,$ 0.00,False,False,,Casas prefabricadas en Temuco. Más de 500 casas entregadas en La Araucanía y Chile.,https://temukit.cl/wp-content/uploads/2023/12/1-5.jpg,,2026-03-02 23:14:04.378800,
